ticker,name,sector,industry,main_product,enabling_tech,underlying_science,mcap_2015,mcap_now,value_created
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,none,none,none,5,22,17
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,none,none,none,17,33,17
WDAY,"Workday, Inc.",Information Technology,Application Software,cloud HR + finance software,SaaS platform,none,20,36,17
AWK,American Water Works,Utilities,Water Utilities,none,none,none,8,24,16
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,none,none,none,6,21,16
CCI,Crown Castle,Real Estate,Telecom Tower REITs,cell towers + small cells + fiber,wireless network densification,RF engineering,23,39,16
FFIV,"F5, Inc.",Information Technology,Communications Equipment,none,none,none,7,23,16
HUM,Humana,Health Care,Managed Health Care,none,none,none,24,39,16
NI,NiSource,Utilities,Multi-Utilities,none,none,none,6,22,16
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,none,none,none,4,20,16
UAL,United Airlines Holdings,Industrials,Passenger Airlines,none,none,none,18,34,16
AIG,American International Group,Financials,Multi-line Insurance,none,none,none,24,38,15
BDX,Becton Dickinson,Health Care,Health Care Equipment,medical devices + diagnostics,flow cytometry + microbiology diagnostics,molecular biology + optics,25,40,15
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",none,none,none,12,27,15
EXPD,Expeditors International,Industrials,Air Freight & Logistics,none,none,none,5,21,15
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",none,none,none,6,21,15
DGX,Quest Diagnostics,Health Care,Health Care Services,none,none,none,7,21,15
STE,Steris,Health Care,Health Care Equipment,sterilization + infection prevention,ethylene oxide + H2O2 sterilization,microbiology + chemistry,6,21,15
VTR,Ventas,Real Estate,Health Care REITs,none,none,none,23,38,15
ALB,Albemarle Corporation,Materials,Specialty Chemicals,lithium compounds for batteries,lithium carbonate + lithium hydroxide refining,electrochemistry + materials science,6,20,14
BRO,Brown & Brown,Financials,Insurance Brokers,none,none,none,5,19,14
CMS,CMS Energy,Utilities,Multi-Utilities,none,none,none,8,22,14
GNRC,Generac,Industrials,Electrical Components & Equipment,none,none,none,2,17,14
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",none,none,none,10,24,14
LII,Lennox International,Industrials,Building Products,none,none,none,3,18,14
L,Loews Corporation,Financials,Multi-line Insurance,none,none,none,8,21,14
PFG,Principal Financial Group,Financials,Life & Health Insurance,none,none,none,7,22,14
SYF,Synchrony Financial,Financials,Consumer Finance,none,none,none,9,23,14
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,none,none,none,1,15,14
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,none,none,none,7,20,14
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,none,none,none,9,23,14
WTW,Willis Towers Watson,Financials,Insurance Brokers,none,none,none,10,24,14
LNT,Alliant Energy,Utilities,Electric Utilities,none,none,none,6,18,13
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,none,none,none,13,25,13
CDW,CDW Corporation,Information Technology,Technology Distributors,none,none,none,4,18,13
CHD,Church & Dwight,Consumer Staples,Household Products,none,none,none,9,22,13
CPAY,Corpay,Financials,Transaction & Payment Processing Services,none,none,none,10,23,13
DECK,Deckers Brands,Consumer Discretionary,Footwear,none,none,none,2,15,13
EVRG,Evergy,Utilities,Electric Utilities,none,none,none,6,19,13
ES,Eversource Energy,Utilities,Electric Utilities,none,none,none,13,26,13
FE,FirstEnergy,Utilities,Electric Utilities,none,none,none,13,26,13
KEY,KeyCorp,Financials,Regional Banks,none,none,none,10,23,13
LH,Labcorp,Health Care,Health Care Services,none,none,none,8,21,13
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,none,none,none,4,17,13
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,none,none,none,6,20,13
ZTS,Zoetis,Health Care,Pharmaceuticals,none,none,none,19,33,13
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,none,none,none,11,23,12
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,none,none,none,5,18,12
EIX,Edison International,Utilities,Electric Utilities,none,none,none,15,27,12
LDOS,Leidos,Industrials,Diversified Support Services,none,none,none,3,16,12
LEN,Lennar,Consumer Discretionary,Homebuilding,none,none,none,10,22,12
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,none,none,none,4,16,12
CNC,Centene Corporation,Health Care,Managed Health Care,none,none,none,19,29,11
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,nitrogen fertilizers,Haber-Bosch ammonia synthesis,industrial chemistry,7,18,11
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,none,none,none,5,16,11
PPL,PPL Corporation,Utilities,Electric Utilities,none,none,none,15,26,11
PTC,PTC Inc.,Information Technology,Application Software,none,none,none,5,16,11
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,"antibody drugs (Dupixent, Eylea)",fully human antibody platform (VelocImmune),immunology + genetics,53,65,11
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,none,none,none,11,22,11
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,none,none,none,12,22,11
AIZ,Assurant,Financials,Multi-line Insurance,none,none,none,3,12,10
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,none,none,none,5,15,10
DD,DuPont,Materials,Specialty Chemicals,specialty materials + chemicals,polymer science + materials engineering,polymer chemistry + materials science,10,19,10
EFX,Equifax,Industrials,Research & Consulting Services,none,none,none,11,21,10
GEN,Gen Digital,Information Technology,Systems Software,none,none,none,6,16,10
J,Jacobs Solutions,Industrials,Construction & Engineering,none,none,none,4,14,10
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,none,none,none,24,34,10
MAS,Masco,Industrials,Building Products,none,none,none,4,14,10
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,cell towers,wireless infrastructure,RF engineering,11,21,10
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,none,none,none,17,26,9
CMCSA,Comcast,Communication Services,Cable & Satellite,none,none,none,75,84,9
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,none,none,none,14,23,9
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,none,none,none,16,25,9
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,none,none,none,6,15,9
NWS,News Corp (Class B),Communication Services,Publishing,none,none,none,7,16,9
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,none,none,none,11,20,9
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,none,none,none,4,12,8
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,none,none,none,26,34,8
ERIE,Erie Indemnity,Financials,Insurance Brokers,none,none,none,3,11,8
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,none,none,none,10,18,8
FISV,Fiserv,Financials,Transaction & Payment Processing Services,none,none,none,21,29,8
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,none,none,none,4,11,8
GL,Globe Life,Financials,Life & Health Insurance,none,none,none,4,12,8
PODD,Insulet Corporation,Health Care,Health Care Equipment,none,none,none,2,10,8
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",none,none,none,7,15,8
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,none,none,none,5,12,8
TXT,Textron,Industrials,Aerospace & Defense,none,none,none,8,16,8
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,none,none,none,8,15,8
TYL,Tyler Technologies,Information Technology,Application Software,none,none,none,5,12,8
ALGN,Align Technology,Health Care,Health Care Supplies,clear dental aligners,3D imaging + custom polymer fabrication,materials science + computer vision,4,12,7
BLDR,Builders FirstSource,Industrials,Building Products,none,none,none,1,8,7
DVA,DaVita,Health Care,Health Care Services,none,none,none,5,13,7
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,none,none,none,15,22,7
DPZ,Domino's,Consumer Discretionary,Restaurants,none,none,none,3,10,7
EG,Everest Group,Financials,Reinsurance,none,none,none,6,13,7
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,none,none,none,9,16,7
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,nuclear-powered aircraft carriers + submarines,naval nuclear propulsion,nuclear engineering,4,11,7
KMB,Kimberly-Clark,Consumer Staples,Household Products,none,none,none,25,31,7
NWSA,News Corp (Class A),Communication Services,Publishing,none,none,none,7,14,7
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,none,none,none,5,12,7
TRMB,Trimble Inc.,Information Technology,Application Software,none,none,none,5,13,7
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,none,none,none,5,12,7
ALLE,Allegion,Industrials,Building Products,none,none,none,5,11,6
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",none,none,none,8,14,6
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,none,none,none,5,11,6
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,none,none,none,17,23,6
KIM,Kimco Realty,Real Estate,Retail REITs,none,none,none,10,16,6
OMC,Omnicom Group,Communication Services,Advertising,none,none,none,15,21,6
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,none,none,none,6,12,6
REG,Regency Centers,Real Estate,Retail REITs,none,none,none,8,14,6
RVTY,Revvity,Health Care,Health Care Equipment,none,none,none,6,11,6
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,none,none,none,3,9,5
CSGP,CoStar Group,Real Estate,Real Estate Services,none,none,none,8,14,5
IT,Gartner,Information Technology,IT Consulting & Other Services,none,none,none,6,11,5
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,none,none,none,9,14,5
GPN,Global Payments,Financials,Transaction & Payment Processing Services,none,none,none,14,19,5
HAS,Hasbro,Consumer Discretionary,Leisure Products,none,none,none,7,12,5
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,none,none,none,4,9,5
PYPL,PayPal,Financials,Transaction & Payment Processing Services,none,none,none,32,38,5
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,none,none,none,7,12,5
AOS,A. O. Smith,Industrials,Building Products,none,none,none,4,8,4
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,none,none,none,6,10,4
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,cytokines + proteins for research,recombinant protein expression,protein biology,4,8,4
FDS,FactSet,Financials,Financial Exchanges & Data,none,none,none,5,9,4
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,oilfield services,drilling + completion technology,mechanical + petroleum engineering,31,34,4
LYB,LyondellBasell,Materials,Specialty Chemicals,polyolefins + chemicals,polyolefin catalysis,polymer chemistry + catalysis,18,22,4
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,none,none,none,9,12,4
POOL,Pool Corporation,Consumer Discretionary,Distributors,none,none,none,2,7,4
PPG,PPG Industries,Materials,Specialty Chemicals,coatings + paints,polymer chemistry + nano-coatings,polymer chemistry + materials science,21,25,4
LUV,Southwest Airlines,Industrials,Passenger Airlines,none,none,none,16,20,4
COO,Cooper Companies (The),Health Care,Health Care Supplies,none,none,none,9,12,3
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,none,none,none,51,53,3
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,none,none,none,57,59,3
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,none,none,none,15,18,2
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,vehicle electronics + software,ADAS + EV wiring architecture,embedded systems + computer vision,15,16,2
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,none,none,none,28,30,2
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,none,none,none,8,10,2
HSIC,Henry Schein,Health Care,Health Care Distributors,none,none,none,6,9,2
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,none,none,none,16,18,2
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,none,none,none,9,11,2
WY,Weyerhaeuser,Real Estate,Timber REITs,none,none,none,15,18,2
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,none,none,none,9,11,2
CLX,Clorox,Consumer Staples,Household Products,none,none,none,9,11,1
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,none,none,none,12,13,1
IVZ,Invesco,Financials,Asset Management & Custody Banks,none,none,none,11,12,1
UHS,Universal Health Services,Health Care,Health Care Facilities,none,none,none,8,9,1
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,none,none,none,16,16,0
DOC,Healthpeak Properties,Real Estate,Health Care REITs,none,none,none,14,13,0
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",none,none,none,65,65,0
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,none,none,none,12,12,0
SWKS,Skyworks Solutions,Information Technology,Semiconductors,RF analog semiconductors,RF front-end modules,RF engineering + semiconductor physics,13,12,-1
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,none,none,none,11,9,-2
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,none,none,none,16,14,-2
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,none,none,none,27,25,-2
INCY,Incyte,Health Care,Biotechnology,none,none,none,22,20,-2
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,none,none,none,20,17,-3
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,none,none,none,10,7,-3
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,none,none,none,175,173,-3
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,orthopedic implants + robotics,3D-printed implants + surgical robots,materials science + robotics,20,16,-3
BXP,"BXP, Inc.",Real Estate,Office REITs,none,none,none,14,10,-4
CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,none,none,none,10,6,-4
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,none,none,none,10,6,-4
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,flavors + fragrances + ingredients,synthetic biology for flavor molecules,biochemistry + synthetic biology,23,19,-4
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,phosphate + potash fertilizers,mineral extraction + processing,geology + chemistry,11,7,-4
BAX,Baxter International,Health Care,Health Care Equipment,renal + hospital products,hemodialysis technology,bioengineering + membrane science,16,10,-6
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,none,none,none,27,21,-6
CHTR,Charter Communications,Communication Services,Cable & Satellite,none,none,none,25,18,-7
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,oilfield services + digital for energy,seismic imaging + AI for reservoir modeling,geophysics + machine learning,100,85,-15
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",none,none,none,25,8,-17
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,none,none,none,85,68,-17
CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",none,none,none,55,38,-18
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,none,none,none,54,27,-27
BIIB,Biogen,Health Care,Biotechnology,"neurology drugs (MS, Alzheimer)",antisense oligonucleotides + antibodies,neuroscience + molecular biology,58,29,-29
PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,none,none,none,55,12,-43
VTRS,Viatris,Health Care,Pharmaceuticals,none,none,none,69,18,-51
PCG,PG&E Corporation,Utilities,Multi-Utilities,electric + gas utility,grid infrastructure,electrical engineering,107,37,-70
