ticker,name,sector,industry,main_product,enabling_tech,underlying_science,mcap_start,mcap_end,value_created
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,none,none,none,2,5,3
PFG,Principal Financial Group,Financials,Life & Health Insurance,none,none,none,5,7,3
PTC,PTC Inc.,Information Technology,Application Software,none,none,none,2,5,3
PWR,Quanta Services,Industrials,Construction & Engineering,none,none,none,1,4,3
DGX,Quest Diagnostics,Health Care,Health Care Services,none,none,none,4,7,3
REG,Regency Centers,Real Estate,Retail REITs,none,none,none,4,8,3
SYY,Sysco,Consumer Staples,Food Distributors,none,none,none,10,13,3
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,none,none,none,1,5,3
TRMB,Trimble Inc.,Information Technology,Application Software,none,none,none,2,5,3
AXON,Axon Enterprise,Industrials,Aerospace & Defense,none,none,none,1,2,2
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,cytokines + proteins for research,recombinant protein expression,protein biology,1,4,2
BRO,Brown & Brown,Financials,Insurance Brokers,none,none,none,3,5,2
CDNS,Cadence Design Systems,Information Technology,Application Software,EDA + IP for chip design,circuit simulation + place-and-route,algorithms + circuit theory,4,5,2
CASY,Casey's,Consumer Staples,Food Retail,none,none,none,1,3,2
COHR,Coherent Corp.,Information Technology,Electronic Components,none,none,none,2,4,2
CPRT,Copart,Industrials,Diversified Support Services,none,none,none,1,4,2
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,none,none,none,13,15,2
ERIE,Erie Indemnity,Financials,Insurance Brokers,none,none,none,1,3,2
J,Jacobs Solutions,Industrials,Construction & Engineering,none,none,none,2,4,2
KIM,Kimco Realty,Real Estate,Retail REITs,none,none,none,7,10,2
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,none,none,none,0,2,2
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,none,none,none,2,4,2
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,none,none,none,3,6,2
STLD,Steel Dynamics,Materials,Steel,none,none,none,1,3,2
TXT,Textron,Industrials,Aerospace & Defense,none,none,none,6,8,2
AEE,Ameren,Utilities,Multi-Utilities,none,none,none,7,8,1
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,none,none,none,15,16,1
AIZ,Assurant,Financials,Multi-line Insurance,none,none,none,1,3,1
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,none,none,none,2,4,1
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,none,none,none,2,3,1
CIEN,Ciena,Information Technology,Communications Equipment,none,none,none,2,3,1
FIX,Comfort Systems USA,Industrials,Construction & Engineering,none,none,none,0,1,1
DECK,Deckers Brands,Consumer Discretionary,Footwear,none,none,none,0,2,1
EME,Emcor,Industrials,Construction & Engineering,none,none,none,0,2,1
EXC,Exelon,Utilities,Electric Utilities,none,none,none,16,17,1
FICO,Fair Isaac,Information Technology,Application Software,none,none,none,1,2,1
GEN,Gen Digital,Information Technology,Systems Software,none,none,none,5,6,1
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",cloud data storage management,storage software + flash arrays,none,4,5,1
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,none,none,none,3,4,1
POOL,Pool Corporation,Consumer Discretionary,Distributors,none,none,none,1,2,1
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",none,none,none,4,5,1
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,semiconductor test equipment,automated test equipment,electrical engineering,2,3,1
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,none,none,none,0,1,1
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,none,none,none,0,1,1
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,none,none,none,7,6,0
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,none,none,none,4,5,0
BLDR,Builders FirstSource,Industrials,Building Products,none,none,none,1,1,0
JBL,Jabil,Information Technology,Electronic Manufacturing Services,none,none,none,2,2,0
JCI,Johnson Controls,Industrials,Building Products,none,none,none,18,18,0
MAS,Masco,Industrials,Building Products,none,none,none,4,4,0
MSI,Motorola Solutions,Information Technology,Communications Equipment,none,none,none,9,8,0
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,none,none,none,5,5,0
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,none,none,none,8,7,-1
LEN,Lennar,Consumer Discretionary,Homebuilding,none,none,none,11,10,-1
PHM,PulteGroup,Consumer Discretionary,Homebuilding,none,none,none,6,3,-3
HIG,Hartford (The),Financials,Property & Casualty Insurance,none,none,none,13,9,-4
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,none,none,none,9,5,-4
NEM,Newmont,Materials,Gold,none,none,none,27,23,-5
FITB,Fifth Third Bancorp,Financials,Regional Banks,none,none,none,20,12,-8
HBAN,Huntington Bancshares,Financials,Regional Banks,none,none,none,23,14,-8
KEY,KeyCorp,Financials,Regional Banks,none,none,none,18,10,-8
RF,Regions Financial Corporation,Financials,Regional Banks,none,none,none,15,6,-9
BSX,Boston Scientific,Health Care,Health Care Equipment,cardiac + endoscopy devices,interventional cardiology devices,materials science + bioengineering,41,28,-13
AMD,Advanced Micro Devices,Information Technology,Semiconductors,CPUs + GPUs + AI chips,chip microarchitecture design,semiconductor physics + computer architecture,27,4,-24
BAC,Bank of America,Financials,Diversified Banks,none,none,none,208,93,-115
AIG,American International Group,Financials,Multi-line Insurance,none,none,none,355,24,-331
C,Citigroup,Financials,Diversified Banks,none,none,none,509,69,-440
