ticker,name,sector,industry,main_product,enabling_tech,underlying_science
NVDA,Nvidia,Information Technology,Semiconductors,AI/ML accelerators + GPUs,massively parallel GPU computing,deep learning + linear algebra
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,none,none,none
NXPI,NXP Semiconductors,Information Technology,Semiconductors,none,none,none
ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,none,none,none
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,none,none,none
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,none,none,none
OMC,Omnicom Group,Communication Services,Advertising,none,none,none
ON,ON Semiconductor,Information Technology,Semiconductors,power + automotive semiconductors,SiC MOSFET + power electronics,semiconductor physics + wide-bandgap materials
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,none,none,none
ORCL,Oracle Corporation,Information Technology,Application Software,cloud database + ERP,relational databases + cloud infrastructure,database theory
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,elevators + escalators,linear motor + safety systems,mechanical engineering + control systems
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,none,none,none
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,none,none,none
PLTR,Palantir Technologies,Information Technology,Application Software,AI analytics for defense + enterprise,LLM-based data fusion + ontology graphs,machine learning + graph theory
PANW,Palo Alto Networks,Information Technology,Systems Software,cybersecurity platform,AI-based threat detection + XDR,machine learning
PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,none,none,none
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,"motion + control systems (hydraulics, pneumatics)",fluid power + motion control,fluid mechanics + control systems
PAYX,Paychex,Industrials,Human Resource & Employment Services,none,none,none
PYPL,PayPal,Financials,Transaction & Payment Processing Services,none,none,none
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,none,none,none
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,none,none,none
PFE,Pfizer,Health Care,Pharmaceuticals,none,none,none
PCG,PG&E Corporation,Utilities,Multi-Utilities,electric + gas utility,grid infrastructure,electrical engineering
PM,Philip Morris International,Consumer Staples,Tobacco,none,none,none
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,none,none,none
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,none,none,none
PNC,PNC Financial Services,Financials,Diversified Banks,none,none,none
POOL,Pool Corporation,Consumer Discretionary,Distributors,none,none,none
PPG,PPG Industries,Materials,Specialty Chemicals,coatings + paints,polymer chemistry + nano-coatings,polymer chemistry + materials science
PPL,PPL Corporation,Utilities,Electric Utilities,none,none,none
PFG,Principal Financial Group,Financials,Life & Health Insurance,none,none,none
PG,Procter & Gamble,Consumer Staples,Personal Care Products,none,none,none
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,none,none,none
PLD,Prologis,Real Estate,Industrial REITs,none,none,none
PRU,Prudential Financial,Financials,Life & Health Insurance,none,none,none
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,none,none,none
PTC,PTC Inc.,Information Technology,Application Software,none,none,none
PSA,Public Storage,Real Estate,Self-Storage REITs,none,none,none
PHM,PulteGroup,Consumer Discretionary,Homebuilding,none,none,none
PWR,Quanta Services,Industrials,Construction & Engineering,none,none,none
QCOM,Qualcomm,Information Technology,Semiconductors,mobile SoCs + 5G modems,CDMA/5G wireless + RF integration,signal processing + electromagnetic theory
DGX,Quest Diagnostics,Health Care,Health Care Services,none,none,none
Q,Qnity Electronics,Information Technology,Semiconductor Materials & Equipment,none,none,none
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",none,none,none
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,none,none,none
RTX,RTX Corporation,Industrials,Aerospace & Defense,jet engines (Pratt & Whitney) + missiles + avionics (Raytheon),gas turbine + AESA radar + precision guidance,thermodynamics + RF engineering + inertial navigation
O,Realty Income,Real Estate,Retail REITs,none,none,none
REG,Regency Centers,Real Estate,Retail REITs,none,none,none
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,"antibody drugs (Dupixent, Eylea)",fully human antibody platform (VelocImmune),immunology + genetics
RF,Regions Financial Corporation,Financials,Regional Banks,none,none,none
RSG,Republic Services,Industrials,Environmental & Facilities Services,none,none,none
RMD,ResMed,Health Care,Health Care Equipment,none,none,none
RVTY,Revvity,Health Care,Health Care Equipment,none,none,none
HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,none,none,none
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,industrial automation + IoT,PLC + industrial software + AI for manufacturing,control systems + machine learning
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,none,none,none
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,none,none,none
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,none,none,none
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",none,none,none
SPGI,S&P Global,Financials,Financial Exchanges & Data,financial data + analytics,data analytics + AI,none
CRM,Salesforce,Information Technology,Application Software,cloud CRM + AI agents,SaaS + vector search + LLMs,machine learning
SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",none,none,none
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,cell towers,wireless infrastructure,RF engineering
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,oilfield services + digital for energy,seismic imaging + AI for reservoir modeling,geophysics + machine learning
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",hard disk drives,perpendicular magnetic recording,physics of magnetic media
SRE,Sempra,Utilities,Multi-Utilities,none,none,none
NOW,ServiceNow,Information Technology,Systems Software,cloud workflow automation,SaaS platform + AI,none
SHW,Sherwin-Williams,Materials,Specialty Chemicals,paints + coatings,polymer chemistry,polymer chemistry
SPG,Simon Property Group,Real Estate,Retail REITs,none,none,none
SWKS,Skyworks Solutions,Information Technology,Semiconductors,RF analog semiconductors,RF front-end modules,RF engineering + semiconductor physics
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,none,none,none
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,none,none,none
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,none,none,none
SOLV,Solventum,Health Care,Health Care Technology,none,none,none
SO,Southern Company,Utilities,Electric Utilities,none,none,none
LUV,Southwest Airlines,Industrials,Passenger Airlines,none,none,none
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,none,none,none
SBUX,Starbucks,Consumer Discretionary,Restaurants,none,none,none
STT,State Street Corporation,Financials,Asset Management & Custody Banks,none,none,none
STLD,Steel Dynamics,Materials,Steel,none,none,none
STE,Steris,Health Care,Health Care Equipment,sterilization + infection prevention,ethylene oxide + H2O2 sterilization,microbiology + chemistry
SYK,Stryker Corporation,Health Care,Health Care Equipment,surgical robots + orthopedics + neurotechnology,Mako robotic surgery system,robotics + materials science
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",none,none,none
SYF,Synchrony Financial,Financials,Consumer Finance,none,none,none
SNPS,Synopsys,Information Technology,Application Software,EDA software,chip design automation + formal verification,algorithms + Boolean logic
SYY,Sysco,Consumer Staples,Food Distributors,none,none,none
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,none,none,none
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,none,none,none
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,none,none,none
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",none,none,none
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,none,none,none
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,none,none,none
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,none,none,none
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,none,none,none
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,semiconductor test equipment,automated test equipment,electrical engineering
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,electric vehicles + energy storage + AI autonomy,lithium-ion batteries + FSD neural nets + power electronics,electrochemistry + deep learning + power electronics
TXN,Texas Instruments,Information Technology,Semiconductors,analog + embedded semiconductors,analog circuit design,semiconductor physics + circuit theory
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,none,none,none
TXT,Textron,Industrials,Aerospace & Defense,none,none,none
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,lab instruments + biotech manufacturing,mass spectrometry + sequencing + bioreactors,analytical chemistry + biochemistry
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,none,none,none
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,none,none,none
TTD,Trade Desk (The),Communication Services,Advertising,none,none,none
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,none,none,none
TT,Trane Technologies,Industrials,Building Products,HVAC systems,vapor-compression + heat pump systems,thermodynamics
TDG,TransDigm Group,Industrials,Aerospace & Defense,aerospace components,precision aerospace manufacturing,materials science + aerospace engineering
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,none,none,none
TRMB,Trimble Inc.,Information Technology,Application Software,none,none,none
TFC,Truist Financial,Financials,Diversified Banks,none,none,none
TYL,Tyler Technologies,Information Technology,Application Software,none,none,none
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,none,none,none
USB,U.S. Bancorp,Financials,Diversified Banks,none,none,none
UBER,Uber,Industrials,Passenger Ground Transportation,none,none,none
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,none,none,none
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,none,none,none
UNP,Union Pacific Corporation,Industrials,Rail Transportation,none,none,none
UAL,United Airlines Holdings,Industrials,Passenger Airlines,none,none,none
UPS,United Parcel Service,Industrials,Air Freight & Logistics,none,none,none
URI,United Rentals,Industrials,Trading Companies & Distributors,none,none,none
UNH,UnitedHealth Group,Health Care,Managed Health Care,none,none,none
UHS,Universal Health Services,Health Care,Health Care Facilities,none,none,none
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,none,none,none
VEEV,Veeva Systems,Health Care,Health Care Technology,cloud software for life sciences,regulatory data management,none
VTR,Ventas,Real Estate,Health Care REITs,none,none,none
VLTO,Veralto,Industrials,Environmental & Facilities Services,none,none,none
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,none,none,none
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,none,none,none
VZ,Verizon,Communication Services,Integrated Telecommunication Services,5G wireless + broadband,5G NR (New Radio) networks,signal processing + RF engineering
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,cystic fibrosis + pain drugs,CFTR modulators + sodium channel blockers,molecular biology + ion channel biophysics
VRT,Vertiv,Industrials,Electrical Components & Equipment,none,none,none
VTRS,Viatris,Health Care,Pharmaceuticals,none,none,none
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,none,none,none
V,Visa Inc.,Financials,Transaction & Payment Processing Services,none,none,none
VST,Vistra Corp.,Utilities,Electric Utilities,none,none,none
VMC,Vulcan Materials Company,Materials,Construction Materials,none,none,none
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,none,none,none
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,none,none,none
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,none,none,none
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,none,none,none
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,none,none,none
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,none,none,none
WM,Waste Management,Industrials,Environmental & Facilities Services,none,none,none
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,"analytical instruments (HPLC, MS)",liquid chromatography + mass spectrometry,analytical chemistry
WEC,WEC Energy Group,Utilities,Electric Utilities,none,none,none
WFC,Wells Fargo,Financials,Diversified Banks,none,none,none
WELL,Welltower,Real Estate,Health Care REITs,none,none,none
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,none,none,none
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",hard drives + NAND flash,magnetic recording + flash memory,semiconductor physics
WY,Weyerhaeuser,Real Estate,Timber REITs,none,none,none
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,none,none,none
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,none,none,none
WTW,Willis Towers Watson,Financials,Insurance Brokers,none,none,none
WDAY,"Workday, Inc.",Information Technology,Application Software,cloud HR + finance software,SaaS platform,none
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,none,none,none
XEL,Xcel Energy,Utilities,Multi-Utilities,none,none,none
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,none,none,none
YUM,Yum! Brands,Consumer Discretionary,Restaurants,none,none,none
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,none,none,none
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,orthopedic implants + robotics,3D-printed implants + surgical robots,materials science + robotics
ZTS,Zoetis,Health Care,Pharmaceuticals,none,none,none
